Unbearbeiteter Daten-Export (tab separat)


Klient:	Sebastian,Heckner
Sitzung:	11_Sebi 
Datum:	2021-04-20
Zeit:	15:46:47
Dauer:	61	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	1.701
1	1.331
2	1.330
3	1.330
4	1.330
5	1.330
6	1.329
7	1.329
8	1.329
9	1.329
10	1.328
11	1.328
12	1.328
13	1.328
14	1.328
15	1.327
16	1.327
17	1.327
18	1.327
19	1.350
20	1.426
21	1.426
22	1.426
23	1.427
24	1.427
25	1.427
26	1.427
27	1.427
28	1.427
29	1.428
30	1.428
31	1.428
32	1.428
33	1.428
34	1.428
35	1.429
36	1.429
37	1.429
38	1.429
39	1.429
40	1.429
41	1.430
42	1.430
43	1.430
44	1.430
45	1.430
46	1.431
47	1.431
48	1.431
49	1.431
50	1.432
51	1.432
52	1.432
53	1.432
54	1.433
55	1.433
56	1.433
57	1.434
58	1.434
59	1.434
60	1.434
61	1.435
62	1.435
63	1.435
64	1.436
65	1.436
66	1.436
67	1.437
68	1.437
69	1.437
70	1.437
71	1.438
72	1.438
73	1.438
74	1.438
75	1.439
76	1.439
77	1.439
78	1.439
79	1.440
80	1.440
81	1.440
82	1.440
83	1.440
84	1.440
85	1.441
86	1.441
87	1.441
88	1.441
89	1.441
90	1.442
91	1.442
92	1.442
93	1.442
94	1.442
95	1.443
96	1.443
97	1.443
98	1.443
99	1.443
100	1.444
101	1.444
102	1.444
103	1.444
104	1.444
105	1.444
106	1.444
107	1.444
108	1.445
109	1.445
110	1.445
111	1.445
112	1.445
113	1.445
114	1.445
115	1.445
116	1.445
117	1.446
118	1.446
119	1.446
120	1.446
121	1.446
122	1.446
123	1.446
124	1.446
125	1.446
126	1.446
127	1.446
128	1.446
129	1.446
130	1.446
131	1.446
132	1.446
133	1.446
134	1.446
135	1.446
136	1.446
137	1.446
138	1.446
139	1.446
140	1.446
141	1.446
142	1.446
143	1.446
144	1.446
145	1.446
146	1.446
147	1.446
148	1.446
149	1.446
150	1.446
151	1.446
152	1.446
153	1.446
154	1.446
155	1.446
156	1.446
157	1.446
158	1.446
159	1.446
160	1.446
161	1.446
162	1.446
163	1.446
164	1.446
165	1.446
166	1.446
167	1.446
168	1.446
169	1.446
170	1.446
171	1.446
172	1.446
173	1.447
174	1.447
175	1.447
176	1.447
177	1.447
178	1.447
179	1.447
180	1.447
181	1.448
182	1.448
183	1.448
184	1.448
185	1.448
186	1.448
187	1.449
188	1.449
189	1.449
190	1.449
191	1.450
192	1.450
193	1.450
194	1.450
195	1.451
196	1.451
197	1.451
198	1.451
199	1.452
200	1.452
201	1.452
202	1.453
203	1.453
204	1.453
205	1.454
206	1.454
207	1.454
208	1.455
209	1.455
210	1.455
211	1.456
212	1.456
213	1.456
214	1.457
215	1.457
216	1.457
217	1.458
218	1.458
219	1.458
220	1.459
221	1.459
222	1.460
223	1.460
224	1.460
225	1.461
226	1.461
227	1.461
228	1.462
229	1.462
230	1.462
231	1.463
232	1.463
233	1.463
234	1.464
235	1.464
236	1.464
237	1.464
238	1.465
239	1.465
240	1.465
241	1.466
242	1.466
243	1.466
244	1.466
245	1.467
246	1.467
247	1.467
248	1.468
249	1.468
250	1.468
251	1.468
252	1.469
253	1.469
254	1.469
255	1.469
256	1.470
257	1.470
258	1.470
259	1.470
260	1.470
261	1.471
262	1.471
263	1.471
264	1.471
265	1.471
266	1.472
267	1.472
268	1.472
269	1.472
270	1.472
271	1.473
272	1.473
273	1.473
274	1.473
275	1.473
276	1.473
277	1.474
278	1.474
279	1.474
280	1.474
281	1.474
282	1.474
283	1.474
284	1.475
285	1.475
286	1.475
287	1.475
288	1.475
289	1.475
290	1.475
291	1.475
292	1.476
293	1.476
294	1.476
295	1.476
296	1.476
297	1.476
298	1.476
299	1.476
300	1.476
301	1.477
302	1.477
303	1.477
304	1.477
305	1.477
306	1.477
307	1.477
308	1.477
309	1.477
310	1.477
311	1.477
312	1.477
313	1.478
314	1.478
315	1.478
316	1.478
317	1.478
318	1.478
319	1.478
320	1.478
321	1.478
322	1.478
323	1.478
324	1.478
325	1.478
326	1.478
327	1.478
328	1.478
329	1.478
330	1.478
331	1.478
332	1.478
333	1.478
334	1.478
335	1.478
336	1.478
337	1.478
338	1.478
339	1.478
340	1.478
341	1.478
342	1.478
343	1.478
344	1.478
345	1.478
346	1.478
347	1.478
348	1.478
349	1.478
350	1.478
351	1.478
352	1.478
353	1.478
354	1.478
355	1.478
356	1.478
357	1.478
358	1.478
359	1.478
360	1.478
361	1.478
362	1.478
363	1.478
364	1.478
365	1.479
366	1.479
367	1.479
368	1.479
369	1.480
370	1.480
371	1.480
372	1.480
373	1.481
374	1.481
375	1.482
376	1.482
377	1.483
378	1.483
379	1.484
380	1.484
381	1.485
382	1.485
383	1.486
384	1.487
385	1.487
386	1.488
387	1.489
388	1.489
389	1.490
390	1.491
391	1.492
392	1.493
393	1.493
394	1.494
395	1.495
396	1.496
397	1.497
398	1.498
399	1.499
400	1.499
401	1.500
402	1.501
403	1.502
404	1.503
405	1.504
406	1.505
407	1.505
408	1.506
409	1.507
410	1.508
411	1.509
412	1.510
413	1.511
414	1.511
415	1.512
416	1.513
417	1.514
418	1.515
419	1.516
420	1.516
421	1.517
422	1.518
423	1.519
424	1.520
425	1.521
426	1.521
427	1.522
428	1.523
429	1.524
430	1.524
431	1.525
432	1.526
433	1.527
434	1.527
435	1.528
436	1.529
437	1.529
438	1.530
439	1.531
440	1.531
441	1.532
442	1.533
443	1.533
444	1.534
445	1.535
446	1.535
447	1.536
448	1.536
449	1.537
450	1.538
451	1.538
452	1.539
453	1.539
454	1.540
455	1.541
456	1.541
457	1.542
458	1.542
459	1.543
460	1.543
461	1.544
462	1.545
463	1.545
464	1.546
465	1.546
466	1.547
467	1.547
468	1.548
469	1.548
470	1.549
471	1.549
472	1.550
473	1.550
474	1.551
475	1.551
476	1.552
477	1.552
478	1.553
479	1.553
480	1.554
481	1.554
482	1.555
483	1.555
484	1.556
485	1.556
486	1.557
487	1.557
488	1.557
489	1.558
490	1.558
491	1.558
492	1.559
493	1.559
494	1.559
495	1.560
496	1.560
497	1.560
498	1.561
499	1.561
500	1.561
501	1.562
502	1.562
503	1.562
504	1.562
505	1.563
506	1.563
507	1.563
508	1.563
509	1.564
510	1.564
511	1.564
512	1.564
513	1.564
514	1.565
515	1.565
516	1.565
517	1.565
518	1.565
519	1.565
520	1.566
521	1.566
522	1.566
523	1.566
524	1.566
525	1.566
526	1.566
527	1.567
528	1.567
529	1.567
530	1.567
531	1.567
532	1.567
533	1.568
534	1.568
535	1.568
536	1.568
537	1.568
538	1.568
539	1.569
540	1.569
541	1.569
542	1.569
543	1.569
544	1.569
545	1.569
546	1.569
547	1.569
548	1.570
549	1.570
550	1.570
551	1.570
552	1.570
553	1.570
554	1.570
555	1.570
556	1.570
557	1.570
558	1.570
559	1.570
560	1.570
561	1.570
562	1.571
563	1.571
564	1.571
565	1.571
566	1.571
567	1.571
568	1.571
569	1.571
570	1.571
571	1.570
572	1.570
573	1.570
574	1.570
575	1.570
576	1.570
577	1.570
578	1.570
579	1.570
580	1.570
581	1.570
582	1.570
583	1.570
584	1.570
585	1.570
586	1.570
587	1.570
588	1.570
589	1.570
590	1.569
591	1.569
592	1.569
593	1.569
594	1.569
595	1.569
596	1.569
597	1.569
598	1.569
599	1.568
600	1.568
601	1.568
602	1.568
603	1.568
604	1.568
605	1.568
606	1.568
607	1.567
608	1.567
609	1.567
610	1.567
611	1.567
612	1.567
613	1.567
614	1.566
615	1.566
616	1.566
617	1.566
618	1.566
619	1.566
620	1.566
621	1.565
622	1.565
623	1.565
624	1.565
625	1.565
626	1.565
627	1.565
628	1.564
629	1.564
630	1.564
631	1.564
632	1.564
633	1.564
634	1.564
635	1.563
636	1.563
637	1.563
638	1.563
639	1.563
640	1.563
641	1.563
642	1.563
643	1.563
644	1.562
645	1.562
646	1.562
647	1.562
648	1.562
649	1.562
650	1.562
651	1.562
652	1.562
653	1.562
654	1.562
655	1.562
656	1.562
657	1.562
658	1.562
659	1.562
660	1.562
661	1.562
662	1.562
663	1.562
664	1.562
665	1.562
666	1.562
667	1.562
668	1.562
669	1.562
670	1.562
671	1.562
672	1.562
673	1.562
674	1.562
675	1.563
676	1.563
677	1.563
678	1.563
679	1.563
680	1.563
681	1.563
682	1.563
683	1.563
684	1.563
685	1.564
686	1.564
687	1.564
688	1.564
689	1.564
690	1.564
691	1.564
692	1.564
693	1.564
694	1.564
695	1.565
696	1.565
697	1.565
698	1.565
699	1.565
700	1.565
701	1.565
702	1.565
703	1.565
704	1.565
705	1.565
706	1.565
707	1.565
708	1.565
709	1.565
710	1.565
711	1.565
712	1.565
713	1.565
714	1.565
715	1.565
716	1.565
717	1.565
718	1.565
719	1.565
720	1.565
721	1.565
722	1.565
723	1.565
724	1.565
725	1.565
726	1.565
727	1.565
728	1.565
729	1.565
730	1.565
731	1.565
732	1.565
733	1.565
734	1.565
735	1.565
736	1.565
737	1.565
738	1.565
739	1.564
740	1.564
741	1.564
742	1.564
743	1.564
744	1.564
745	1.564
746	1.564
747	1.564
748	1.563
749	1.563
750	1.563
751	1.563
752	1.563
753	1.563
754	1.562
755	1.562
756	1.562
757	1.562
758	1.562
759	1.561
760	1.561
761	1.561
762	1.561
763	1.561
764	1.560
765	1.560
766	1.560
767	1.560
768	1.560
769	1.559
770	1.559
