Unbearbeiteter Daten-Export (tab separat)


Klient:	Sebastian,Heckner
Sitzung:	23.04.sep.sebi 
Datum:	2021-04-23
Zeit:	13:23:17
Dauer:	81	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	8.829
1	4.781
2	4.788
3	4.795
4	4.803
5	4.810
6	4.817
7	4.825
8	4.832
9	4.839
10	4.846
11	4.852
12	4.859
13	4.865
14	4.871
15	4.876
16	4.882
17	4.887
18	4.891
19	4.896
20	4.900
21	4.904
22	4.908
23	4.912
24	4.916
25	4.919
26	4.922
27	4.924
28	4.928
29	4.930
30	4.933
31	4.935
32	4.937
33	4.939
34	4.941
35	4.942
36	4.944
37	4.946
38	4.947
39	4.948
40	4.949
41	4.949
42	4.950
43	4.950
44	4.950
45	4.950
46	4.950
47	4.949
48	4.948
49	4.947
50	4.946
51	4.945
52	4.943
53	4.942
54	4.940
55	4.939
56	4.937
57	4.935
58	4.934
59	4.932
60	4.930
61	4.929
62	4.928
63	4.927
64	4.926
65	4.925
66	4.925
67	4.925
68	4.925
69	4.926
70	4.927
71	4.929
72	4.932
73	4.936
74	4.939
75	4.944
76	4.948
77	4.954
78	4.959
79	4.965
80	4.972
81	4.979
82	4.987
83	4.995
84	5.003
85	5.012
86	5.021
87	5.030
88	5.039
89	5.049
90	5.058
91	5.068
92	5.078
93	5.088
94	5.098
95	5.108
96	5.118
97	5.128
98	5.137
99	5.147
100	5.157
101	5.166
102	5.176
103	5.185
104	5.194
105	5.203
106	5.211
107	5.219
108	5.227
109	5.235
110	5.242
111	5.249
112	5.255
113	5.262
114	5.268
115	5.274
116	5.280
117	5.286
118	5.292
119	5.297
120	5.302
121	5.307
122	5.312
123	5.315
124	5.320
125	5.323
126	5.326
127	5.329
128	5.332
129	5.334
130	5.336
131	5.338
132	5.339
133	5.340
134	5.341
135	5.341
136	5.341
137	5.341
138	5.341
139	5.341
140	5.340
141	5.340
142	5.339
143	5.339
144	5.338
145	5.338
146	5.337
147	5.336
148	5.335
149	5.334
150	5.334
151	5.333
152	5.332
153	5.331
154	5.331
155	5.329
156	5.328
157	5.327
158	5.326
159	5.325
160	5.324
161	5.324
162	5.323
163	5.322
164	5.320
165	5.320
166	5.319
167	5.318
168	5.318
169	5.320
170	5.322
171	5.323
172	5.325
173	5.326
174	5.327
175	5.328
176	5.328
177	5.329
178	5.329
179	5.329
180	5.329
181	5.329
182	5.328
183	5.328
184	5.327
185	5.326
186	5.324
187	5.323
188	5.322
189	5.320
190	5.318
191	5.316
192	5.315
193	5.313
194	5.311
195	5.309
196	5.307
197	5.306
198	5.303
199	5.301
200	5.299
201	5.296
202	5.294
203	5.292
204	5.289
205	5.287
206	5.284
207	5.282
208	5.280
209	5.277
210	5.274
211	5.272
212	5.270
213	5.267
214	5.264
215	5.262
216	5.260
217	5.258
218	5.257
219	5.256
220	5.254
221	5.253
222	5.251
223	5.249
224	5.249
225	5.247
226	5.246
227	5.244
228	5.243
229	5.242
230	5.241
231	5.240
232	5.238
233	5.237
234	5.236
235	5.235
236	5.233
237	5.232
238	5.231
239	5.230
240	5.229
241	5.228
242	5.227
243	5.225
244	5.225
245	5.224
246	5.223
247	5.222
248	5.221
249	5.220
250	5.219
251	5.218
252	5.216
253	5.216
254	5.215
255	5.213
256	5.212
257	5.212
258	5.211
259	5.210
260	5.210
261	5.209
262	5.208
263	5.207
264	5.207
265	5.206
266	5.205
267	5.204
268	5.203
269	5.202
270	5.202
271	5.201
272	5.199
273	5.198
274	5.198
275	5.197
276	5.195
277	5.194
278	5.193
279	5.191
280	5.190
281	5.189
282	5.187
283	5.186
284	5.185
285	5.183
286	5.182
287	5.181
288	5.179
289	5.178
290	5.176
291	5.175
292	5.173
293	5.172
294	5.171
295	5.169
296	5.168
297	5.167
298	5.166
299	5.165
300	5.164
301	5.163
302	5.163
303	5.163
304	5.163
305	5.164
306	5.165
307	5.166
308	5.168
309	5.171
310	5.174
311	5.177
312	5.181
313	5.186
314	5.191
315	5.196
316	5.203
317	5.210
318	5.217
319	5.225
320	5.233
321	5.242
322	5.252
323	5.261
324	5.271
325	5.282
326	5.292
327	5.303
328	5.314
329	5.324
330	5.335
331	5.346
332	5.356
333	5.366
334	5.376
335	5.386
336	5.396
337	5.406
338	5.415
339	5.425
340	5.433
341	5.442
342	5.450
343	5.458
344	5.465
345	5.472
346	5.478
347	5.483
348	5.488
349	5.493
350	5.497
351	5.501
352	5.504
353	5.507
354	5.510
355	5.512
356	5.514
357	5.516
358	5.517
359	5.518
360	5.518
361	5.519
362	5.519
363	5.518
364	5.518
365	5.517
366	5.516
367	5.515
368	5.514
369	5.512
370	5.510
371	5.508
372	5.505
373	5.503
374	5.500
375	5.496
376	5.493
377	5.489
378	5.485
379	5.481
380	5.477
381	5.473
382	5.468
383	5.464
384	5.459
385	5.454
386	5.450
387	5.445
388	5.440
389	5.435
390	5.430
391	5.425
392	5.420
393	5.415
394	5.410
395	5.405
396	5.399
397	5.394
398	5.389
399	5.383
400	5.378
401	5.373
402	5.368
403	5.363
404	5.358
405	5.353
406	5.348
407	5.343
408	5.338
409	5.333
410	5.328
411	5.323
412	5.318
413	5.313
414	5.309
415	5.304
416	5.299
417	5.295
418	5.290
419	5.286
420	5.281
421	5.277
422	5.272
423	5.268
424	5.264
425	5.261
426	5.257
427	5.253
428	5.249
429	5.246
430	5.242
431	5.238
