Unbearbeiteter Daten-Export (tab separat)


Klient:	Cornelius,Hottenrot
Sitzung:	Cornelius 
Datum:	2021-04-13
Zeit:	19:01:03
Dauer:	422	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	232.558
1	232.558
2	232.558
3	232.558
4	232.558
5	232.558
6	232.558
7	232.558
8	232.558
9	232.558
10	232.558
11	232.558
12	232.558
13	232.558
14	232.558
15	232.558
16	232.558
17	232.558
18	232.558
19	232.558
20	232.558
21	232.558
22	232.558
23	232.558
24	232.558
25	232.558
26	232.558
27	232.558
28	232.558
29	232.558
30	232.558
31	232.558
32	232.558
33	5.278
34	2.670
35	2.670
36	2.670
37	2.670
38	2.670
39	2.670
40	2.671
41	2.671
42	2.671
43	2.671
44	2.671
45	2.671
46	2.671
47	2.671
48	2.671
49	2.672
50	2.672
51	2.672
52	2.672
53	2.672
54	2.672
55	2.672
56	2.673
57	2.673
58	2.673
59	2.673
60	2.673
61	2.673
62	2.673
63	2.673
64	2.673
65	2.673
66	2.673
67	2.673
68	2.673
69	2.673
70	2.673
71	2.673
72	2.673
73	2.673
74	2.673
75	2.673
76	2.673
77	2.673
78	2.673
79	2.673
80	2.673
81	2.673
82	2.672
83	2.672
84	2.672
85	2.672
86	2.672
87	2.672
88	2.672
89	2.672
90	2.672
91	2.671
92	2.671
93	2.671
94	2.671
95	2.671
96	2.671
97	2.671
98	2.671
99	2.671
100	2.671
101	2.671
102	2.671
103	2.671
104	2.671
105	2.671
106	2.671
107	2.671
108	2.671
109	2.671
110	2.671
111	2.671
112	2.671
113	2.671
114	2.671
115	2.671
116	2.671
117	2.671
118	2.671
119	2.672
120	2.672
121	2.672
122	2.672
123	2.672
124	2.672
125	2.672
126	2.672
127	2.672
128	2.672
129	2.672
130	2.672
131	2.673
132	2.673
133	2.673
134	2.673
135	2.673
136	2.673
137	2.673
138	2.673
139	2.673
140	2.673
141	2.673
142	2.673
143	2.674
144	2.674
145	2.674
146	2.674
147	2.674
148	2.674
149	2.674
150	2.674
151	2.674
152	2.675
153	2.675
154	2.675
155	2.675
156	2.675
157	2.675
158	2.675
159	2.675
160	2.676
161	2.676
162	2.676
163	2.676
164	2.676
165	2.676
166	2.676
167	2.676
168	2.676
169	2.677
170	2.677
171	2.677
172	2.677
173	2.677
174	2.677
175	2.677
176	2.678
177	2.678
178	2.678
179	2.678
180	2.678
181	2.678
182	2.679
183	2.679
184	2.679
185	2.679
186	2.679
187	2.679
188	2.680
189	2.680
190	2.680
191	2.680
192	2.680
193	2.681
194	2.681
195	2.681
196	2.681
197	2.681
198	2.681
199	2.682
200	2.682
201	2.682
202	2.683
203	2.683
204	2.683
205	2.684
206	2.684
207	2.684
208	2.684
209	2.685
210	2.685
211	2.685
212	2.685
213	2.686
214	2.686
215	2.686
216	2.686
217	2.687
218	2.687
219	2.687
220	2.687
221	2.688
222	2.688
223	2.688
224	2.688
225	2.688
226	2.689
227	2.689
228	2.689
229	2.689
230	2.689
231	2.689
232	2.689
233	2.690
234	2.690
235	2.690
236	2.690
237	2.690
238	2.690
239	2.690
240	2.690
241	2.690
242	2.691
243	2.691
244	2.691
245	2.691
246	2.691
247	2.691
248	2.691
249	2.691
250	2.691
251	2.691
252	2.691
253	2.691
254	2.691
255	2.692
256	2.692
257	2.692
258	2.692
259	2.692
260	2.692
261	2.692
262	2.692
263	2.692
264	2.692
265	2.692
266	2.692
267	2.692
268	2.692
269	2.692
270	2.692
271	2.692
272	2.692
273	2.692
274	2.692
275	2.692
276	2.692
277	2.692
278	2.691
279	2.691
280	2.691
281	2.691
282	2.691
283	2.691
284	2.691
285	2.691
286	2.691
287	2.691
288	2.691
289	2.691
290	2.691
291	2.690
292	2.690
293	2.690
294	2.690
295	2.690
296	2.690
297	2.690
298	2.690
299	2.690
300	2.690
301	2.690
302	2.690
303	2.689
304	2.689
305	2.689
306	2.689
307	2.689
308	2.689
309	2.689
310	2.689
311	2.689
312	2.688
313	2.688
314	2.688
315	2.688
316	2.688
317	2.688
318	2.688
319	2.688
320	2.688
321	2.688
322	2.688
323	2.688
324	2.688
325	2.687
326	2.687
327	2.687
328	2.687
329	2.687
330	2.687
331	2.687
332	2.687
333	2.687
334	2.687
335	2.686
336	2.686
337	2.686
338	2.686
339	2.686
340	2.686
341	2.686
342	2.686
343	2.686
344	2.686
345	2.686
346	2.686
347	2.686
348	2.686
349	2.686
350	2.686
351	2.685
352	2.685
353	2.685
354	2.685
355	2.685
356	2.685
357	2.685
358	2.685
359	2.685
360	2.685
361	2.684
362	2.684
363	2.684
364	2.684
365	2.684
366	2.684
367	2.684
368	2.684
369	2.684
370	2.683
371	2.683
372	2.683
373	2.683
374	2.683
375	2.683
376	2.683
377	2.683
378	2.683
379	2.682
380	2.682
381	2.682
382	2.682
383	2.682
384	2.682
385	2.682
386	2.682
387	2.681
388	2.681
389	2.681
390	2.681
391	2.681
392	2.681
393	2.681
394	2.681
395	2.680
396	2.680
397	2.680
398	2.680
399	2.680
400	2.680
401	2.680
402	2.680
403	2.680
404	2.679
405	2.679
406	2.679
407	2.679
408	2.679
409	2.679
410	2.679
411	2.679
412	2.679
413	2.679
414	2.679
415	2.679
416	2.678
417	2.678
418	2.678
419	2.678
420	2.678
421	2.678
422	2.678
423	2.678
424	2.678
425	2.677
426	2.677
427	2.677
428	2.677
429	2.677
430	2.677
431	2.677
432	2.677
433	2.677
434	2.677
435	2.677
436	2.676
437	2.676
438	2.676
439	2.676
440	2.676
441	2.676
442	2.676
443	2.676
444	2.676
445	2.676
446	2.676
447	2.676
448	2.676
449	2.676
450	2.675
451	2.675
452	2.675
453	2.675
454	2.675
455	2.675
456	2.675
457	2.675
458	2.675
459	2.675
460	2.675
461	2.675
462	2.675
463	2.675
464	2.675
465	2.674
