Unbearbeiteter Daten-Export (tab separat)


Klient:	Cornelius,Hottenrot
Sitzung:	23.04.to 
Datum:	2021-04-23
Zeit:	15:13:18
Dauer:	83	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	0.825
1	0.711
2	0.711
3	0.711
4	0.711
5	0.712
6	0.712
7	0.712
8	0.712
9	0.712
10	0.712
11	0.713
12	0.713
13	0.713
14	0.713
15	0.713
16	0.713
17	0.714
18	0.714
19	0.714
20	0.714
21	0.714
22	0.714
23	0.715
24	0.715
25	0.715
26	0.715
27	0.715
28	0.715
29	0.715
30	0.715
31	0.715
32	0.716
33	0.716
34	0.715
35	0.715
36	0.715
37	0.714
38	0.712
39	0.710
40	0.708
41	0.706
42	0.704
43	0.702
44	0.700
45	0.698
46	0.696
47	0.695
48	0.693
49	0.691
50	0.690
51	0.688
52	0.687
53	0.685
54	0.684
55	0.683
56	0.681
57	0.680
58	0.679
59	0.677
60	0.676
61	0.675
62	0.673
63	0.672
64	0.671
65	0.669
66	0.668
67	0.667
68	0.665
69	0.664
70	0.663
71	0.753
72	0.754
73	0.755
74	0.756
75	0.757
76	0.758
77	0.759
78	0.760
79	0.761
80	0.762
81	0.763
82	0.764
83	0.765
84	0.766
85	0.767
86	0.768
87	0.769
88	0.770
89	0.771
90	0.772
91	0.773
92	0.775
93	0.776
94	0.777
95	0.778
96	0.779
97	0.780
98	0.781
99	0.782
100	0.783
101	0.784
102	0.785
103	0.786
104	0.787
105	0.788
106	0.789
107	0.790
108	0.791
109	0.792
110	0.793
111	0.794
112	0.795
113	0.796
114	0.797
115	0.798
116	0.799
117	0.801
118	0.802
119	0.803
120	0.804
121	0.805
122	0.806
123	0.807
124	0.808
125	0.809
126	0.810
127	0.812
128	0.813
129	0.814
130	0.815
131	0.816
132	0.817
133	0.818
134	0.819
135	0.820
136	0.821
137	0.822
138	0.823
139	0.824
140	0.825
141	0.825
142	0.826
143	0.827
144	0.828
145	0.829
146	0.830
147	0.831
148	0.832
149	0.833
150	0.834
151	0.835
152	0.836
153	0.836
154	0.837
155	0.838
156	0.839
157	0.840
158	0.841
159	0.842
160	0.843
161	0.843
162	0.844
163	0.845
164	0.846
165	0.847
166	0.848
167	0.848
168	0.849
169	0.850
170	0.851
171	0.852
172	0.852
173	0.853
174	0.854
175	0.855
176	0.855
177	0.856
178	0.857
179	0.857
180	0.858
181	0.859
182	0.859
183	0.860
184	0.861
185	0.861
186	0.862
187	0.863
188	0.863
189	0.864
190	0.864
191	0.865
192	0.865
193	0.866
194	0.867
195	0.867
196	0.868
197	0.868
198	0.869
199	0.869
200	0.870
201	0.870
202	0.871
203	0.872
204	0.872
205	0.873
206	0.873
207	0.874
208	0.874
209	0.875
210	0.875
211	0.876
212	0.876
213	0.876
214	0.877
215	0.877
216	0.878
217	0.878
218	0.879
219	0.879
220	0.879
221	0.880
222	0.880
223	0.881
224	0.881
225	0.881
226	0.882
227	0.882
228	0.883
229	0.883
230	0.883
231	0.884
232	0.884
233	0.884
234	0.885
235	0.885
236	0.886
237	0.886
238	0.886
239	0.887
240	0.887
241	0.887
242	0.887
243	0.888
244	0.888
245	0.888
246	0.889
247	0.889
248	0.889
249	0.889
250	0.889
251	0.890
252	0.890
253	0.890
254	0.890
255	0.890
256	0.890
257	0.891
258	0.891
259	0.891
260	0.891
261	0.891
262	0.891
263	0.891
264	0.891
265	0.891
266	0.892
267	0.892
268	0.892
269	0.892
270	0.892
271	0.892
272	0.892
273	0.892
274	0.892
275	0.892
276	0.892
277	0.892
278	0.892
279	0.892
280	0.892
281	0.892
282	0.892
283	0.892
284	0.892
285	0.892
286	0.892
287	0.892
288	0.892
289	0.892
290	0.892
291	0.892
292	0.892
293	0.892
294	0.892
295	0.892
296	0.892
297	0.892
298	0.892
299	0.892
300	0.892
301	0.893
302	0.893
303	0.893
304	0.893
305	0.893
306	0.893
307	0.893
308	0.893
309	0.893
310	0.893
311	0.893
312	0.893
313	0.893
314	0.893
315	0.893
316	0.893
317	0.893
318	0.893
319	0.893
320	0.893
321	0.894
322	0.894
323	0.894
324	0.894
325	0.894
326	0.894
327	0.894
328	0.894
329	0.894
330	0.894
331	0.894
332	0.894
333	0.894
334	0.894
335	0.894
336	0.894
337	0.894
338	0.894
339	0.894
340	0.894
341	0.895
342	0.895
343	0.895
344	0.895
345	0.895
346	0.895
347	0.895
348	0.895
349	0.895
350	0.895
351	0.895
352	0.895
353	0.895
354	0.895
355	0.895
356	0.895
357	0.895
358	0.895
359	0.895
360	0.895
361	0.894
362	0.894
363	0.894
364	0.894
365	0.894
366	0.894
367	0.894
368	0.894
369	0.894
370	0.894
371	0.894
372	0.894
373	0.894
374	0.894
375	0.894
376	0.894
377	0.894
378	0.894
379	0.893
380	0.893
381	0.893
382	0.893
383	0.893
384	0.893
385	0.893
386	0.893
387	0.893
388	0.893
389	0.892
390	0.892
391	0.892
392	0.892
393	0.892
394	0.892
395	0.892
396	0.892
397	0.892
