Unbearbeiteter Daten-Export (tab separat)


Klient:	David,
Sitzung:	David 
Datum:	2021-04-15
Zeit:	18:11:41
Dauer:	401	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	232.558
1	232.558
2	232.558
3	232.558
4	232.558
5	232.558
6	232.558
7	232.558
8	232.558
9	232.558
10	232.558
11	232.558
12	232.558
13	232.558
14	232.558
15	232.558
16	232.558
17	232.558
18	232.558
19	232.558
20	232.558
21	232.558
22	232.558
23	232.558
24	232.558
25	232.558
26	232.558
27	232.558
28	232.558
29	232.558
30	232.558
31	232.558
32	232.558
33	232.558
34	232.558
35	232.558
36	232.558
37	232.558
38	232.558
39	232.558
40	232.558
41	232.558
42	232.558
43	232.558
44	232.558
45	232.558
46	6.862
47	5.187
48	5.190
49	5.192
50	5.194
51	5.197
52	5.199
53	5.202
54	5.205
55	5.207
56	5.210
57	5.213
58	5.216
59	5.219
60	5.221
61	5.224
62	5.227
63	5.230
64	5.233
65	5.236
66	5.238
67	5.241
68	5.243
69	5.246
70	5.249
71	5.252
72	5.254
73	5.257
74	5.259
75	5.262
76	5.264
77	5.267
78	5.269
79	5.272
80	5.274
81	5.276
82	5.278
83	5.281
84	5.282
85	5.285
86	5.287
87	5.289
88	5.291
89	5.293
90	5.295
91	5.297
92	5.299
93	5.301
94	5.303
95	5.305
96	5.307
97	5.308
98	5.310
99	5.312
100	5.314
101	5.316
102	5.317
103	5.319
104	5.320
105	5.322
106	5.323
107	5.325
108	5.326
109	5.328
110	5.330
111	5.331
112	5.333
113	5.334
114	5.335
115	5.336
116	5.338
117	5.339
118	5.340
119	5.342
120	5.343
121	5.344
122	5.346
123	5.347
124	5.348
125	5.350
126	5.351
127	5.351
128	5.353
129	5.354
130	5.355
131	5.356
132	5.358
133	5.359
134	5.360
135	5.360
136	5.362
137	5.363
138	5.363
139	5.364
140	5.365
141	5.366
142	5.367
143	5.368
144	5.369
145	5.370
146	5.370
147	5.371
148	5.371
149	5.372
150	5.373
151	5.374
152	5.374
153	5.375
154	5.375
155	5.376
156	5.376
157	5.377
158	5.377
159	5.377
160	5.378
161	5.378
162	5.379
163	5.379
164	5.380
165	5.380
166	5.380
167	5.380
168	5.381
169	5.380
170	5.380
171	5.380
172	5.380
173	5.380
174	5.380
175	5.380
176	5.379
177	5.379
178	5.378
179	5.378
180	5.377
181	5.377
182	5.376
183	5.376
184	5.375
185	5.375
186	5.374
187	5.373
188	5.372
189	5.371
190	5.371
191	5.370
192	5.369
193	5.368
194	5.367
195	5.366
196	5.365
197	5.364
198	5.363
199	5.362
200	5.361
201	5.360
202	5.359
203	5.358
204	5.357
205	5.356
206	5.355
207	5.354
208	5.353
209	5.352
210	5.350
211	5.349
212	5.348
213	5.346
214	5.345
215	5.344
216	5.342
217	5.341
218	5.339
219	5.338
220	5.336
221	5.335
222	5.333
223	5.332
224	5.330
225	5.329
226	5.327
227	5.326
228	5.324
229	5.323
230	5.321
231	5.319
232	5.318
233	5.317
234	5.315
235	5.314
236	5.313
237	5.311
238	5.310
239	5.309
240	5.307
241	5.306
242	5.305
243	5.304
244	5.302
245	5.301
246	5.300
247	5.299
248	5.298
249	5.297
250	5.296
251	5.294
252	5.293
253	5.292
254	5.291
255	5.290
256	5.289
257	5.289
258	5.287
259	5.287
260	5.286
261	5.285
262	5.285
263	5.284
264	5.283
265	5.282
266	5.282
267	5.281
268	5.281
269	5.280
270	5.280
271	5.279
272	5.279
273	5.278
274	5.278
275	5.278
276	5.278
277	5.278
278	5.277
279	5.278
280	5.278
281	5.278
282	5.278
283	5.278
284	5.278
285	5.278
286	5.278
287	5.278
288	5.279
289	5.279
290	5.279
291	5.278
292	5.279
293	5.278
294	5.278
295	5.278
296	5.278
297	5.278
298	5.278
299	5.278
300	5.278
301	5.278
302	5.278
303	5.277
304	5.277
305	5.277
306	5.277
307	5.277
308	5.276
309	5.276
310	5.275
311	5.275
312	5.275
313	5.274
314	5.274
315	5.273
316	5.273
317	5.272
318	5.271
319	5.271
320	5.271
321	5.270
322	5.270
323	5.269
324	5.269
325	5.268
326	5.268
327	5.267
328	5.267
329	5.266
330	5.266
331	5.265
332	5.264
333	5.264
334	5.263
335	5.262
336	5.262
337	5.261
338	5.261
339	5.260
340	5.259
341	5.258
342	5.258
343	5.258
344	5.257
345	5.256
346	5.255
347	5.254
348	5.253
349	5.253
350	5.252
351	5.251
352	5.250
353	5.249
354	5.249
355	5.248
356	5.247
357	5.246
358	5.246
359	5.245
360	5.244
361	5.243
362	5.242
363	5.242
364	5.241
365	5.240
366	5.239
367	5.238
368	5.237
369	5.237
370	5.236
371	5.235
372	5.234
373	5.233
374	5.232
375	5.231
376	5.231
377	5.230
378	5.229
379	5.228
380	5.227
381	5.226
382	5.225
383	5.224
384	5.223
385	5.223
386	5.222
387	5.221
388	5.220
389	5.219
390	5.218
391	5.217
392	5.216
393	5.216
394	5.215
395	5.213
396	5.213
397	5.212
398	5.211
399	5.210
400	5.210
401	5.209
402	5.208
403	5.207
404	5.206
405	5.206
406	5.205
407	5.204
408	5.203
409	5.202
410	5.201
411	5.200
412	5.199
413	5.199
414	5.198
415	5.197
416	5.196
417	5.195
418	5.194
419	5.193
420	5.192
421	5.192
422	5.190
423	5.190
424	5.189
425	5.188
426	5.188
427	5.187
428	5.186
429	5.185
430	5.185
431	5.184
432	5.183
433	5.182
434	5.181
435	5.180
436	5.180
437	5.178
438	5.178
439	5.177
440	5.177
441	5.176
442	5.175
443	5.174
444	5.174
445	5.173
446	5.172
447	5.171
448	5.170
449	5.170
450	5.169
451	5.168
452	5.167
453	5.167
454	5.166
455	5.165
456	5.164
457	5.164
458	5.163
459	5.162
460	5.161
461	5.161
462	5.160
463	5.159
464	5.159
465	5.158
466	5.157
467	5.157
468	5.156
469	5.155
470	5.155
471	5.154
472	5.153
473	5.152
474	5.152
475	5.151
476	5.150
477	5.149
478	5.149
479	5.148
480	5.147
481	5.147
482	5.146
483	5.145
484	5.144
485	5.144
486	5.144
487	5.143
488	5.142
489	5.141
490	5.141
491	5.140
492	5.140
493	5.139
494	5.138
495	5.138
496	5.137
497	5.137
498	5.136
499	5.136
500	5.135
501	5.134
502	5.134
503	5.133
504	5.133
505	5.132
506	5.132
507	5.131
508	5.130
509	5.130
510	5.130
511	5.129
512	5.129
513	5.128
514	5.128
515	5.128
516	5.127
517	5.127
518	5.127
519	5.126
520	5.126
521	5.126
522	5.126
523	5.126
524	5.126
525	5.126
526	5.126
527	5.126
528	5.126
529	5.127
530	5.127
531	5.127
532	5.127
533	5.128
534	5.128
535	5.128
536	5.129
537	5.129
538	5.129
539	5.130
540	5.130
541	5.131
542	5.131
543	5.132
544	5.133
545	5.133
546	5.134
547	5.134
548	5.135
549	5.135
550	5.136
551	5.137
552	5.137
553	5.138
554	5.139
555	5.139
556	5.140
557	5.140
558	5.141
559	5.141
560	5.142
561	5.143
562	5.143
563	5.144
564	5.144
565	5.145
566	5.145
567	5.146
568	5.146
569	5.147
570	5.147
571	5.148
572	5.148
573	5.148
574	5.149
575	5.149
576	5.149
577	5.149
578	5.150
579	5.150
580	5.150
581	5.150
582	5.151
583	5.151
584	5.151
585	5.151
586	5.151
587	5.151
588	5.151
589	5.151
590	5.151
591	5.152
592	5.152
593	5.152
594	5.152
595	5.152
596	5.152
597	5.152
598	5.152
599	5.152
600	5.152
601	5.151
602	5.152
603	5.151
604	5.151
605	5.151
606	5.151
607	5.151
608	5.151
609	5.151
610	5.151
611	5.150
612	5.150
613	5.150
614	5.150
615	5.150
616	5.149
617	5.149
618	5.149
619	5.148
620	5.148
621	5.148
622	5.147
623	5.147
624	5.147
625	5.147
626	5.146
627	5.146
628	5.146
629	5.145
630	5.145
631	5.144
632	5.144
633	5.144
634	5.144
635	5.143
636	5.143
637	5.142
638	5.142
639	5.141
640	5.141
641	5.140
642	5.140
643	5.140
644	5.139
645	5.139
646	5.138
647	5.138
648	5.137
649	5.137
650	5.136
651	5.136
652	5.135
653	5.135
654	5.134
655	5.134
656	5.133
657	5.133
658	5.132
659	5.131
660	5.131
661	5.130
662	5.129
663	5.129
664	5.128
665	5.128
666	5.127
667	5.126
668	5.126
669	5.125
670	5.124
671	5.124
672	5.123
673	5.123
674	5.122
675	5.121
676	5.121
677	5.120
678	5.119
679	5.119
680	5.118
681	5.117
682	5.116
683	5.116
684	5.115
685	5.114
686	5.114
687	5.113
688	5.113
689	5.112
690	5.111
691	5.111
692	5.110
693	5.109
694	5.109
695	5.108
696	5.108
697	5.107
698	5.106
699	5.105
700	5.105
701	5.104
702	5.103
703	5.103
704	5.102
705	5.101
706	5.101
707	5.100
708	5.099
709	5.099
710	5.098
711	5.098
712	5.097
713	5.097
714	5.096
715	5.096
716	5.095
717	5.095
718	5.094
719	5.093
720	5.093
721	5.092
722	5.092
723	5.091
724	5.091
725	5.090
726	5.090
727	5.089
728	5.089
729	5.088
730	5.088
731	5.088
732	5.087
733	5.087
734	5.086
735	5.086
736	5.086
737	5.086
738	5.085
739	5.085
740	5.085
741	5.085
742	5.085
743	5.085
744	5.085
745	5.085
746	5.085
747	5.085
748	5.085
749	5.086
750	5.086
751	5.086
752	5.086
753	5.087
754	5.087
755	5.087
756	5.088
757	5.088
758	5.088
759	5.088
760	5.089
761	5.089
762	5.090
763	5.090
764	5.091
765	5.091
766	5.091
767	5.092
768	5.092
769	5.093
770	5.093
771	5.093
772	5.094
773	5.094
774	5.094
775	5.095
776	5.095
777	5.095
778	5.095
779	5.096
780	5.096
781	5.096
782	5.096
783	5.096
784	5.097
785	5.097
786	5.097
787	5.097
788	5.097
789	5.097
790	5.097
791	5.097
792	5.097
793	5.098
794	5.097
795	5.097
796	5.098
797	5.097
798	5.097
799	5.097
800	5.097
801	5.097
802	5.097
803	5.096
804	5.096
805	5.096
806	5.096
807	5.096
808	5.095
809	5.095
810	5.095
811	5.095
812	5.094
813	5.094
814	5.094
815	5.093
816	5.093
817	5.093
818	5.092
819	5.092
820	5.091
821	5.091
822	5.090
823	5.090
824	5.090
825	5.089
826	5.089
827	5.088
828	5.088
829	5.087
830	5.087
831	5.086
832	5.086
833	5.086
834	5.085
835	5.085
836	5.084
837	5.083
838	5.083
839	5.082
840	5.082
841	5.081
842	5.081
843	5.080
844	5.080
845	5.079
846	5.078
847	5.078
848	5.077
849	5.077
850	5.076
851	5.076
852	5.075
853	5.075
854	5.074
855	5.074
856	5.073
857	5.073
858	5.072
859	5.071
860	5.071
861	5.071
862	5.070
863	5.069
864	5.069
865	5.068
866	5.068
867	5.068
868	5.067
869	5.067
870	5.066
871	5.066
872	5.066
873	5.066
874	5.065
875	5.065
876	5.065
877	5.065
878	5.065
879	5.065
880	5.065
881	5.065
882	5.065
883	5.065
884	5.064
885	5.065
886	5.065
887	5.066
888	5.066
889	5.066
890	5.067
891	5.067
892	5.068
893	5.069
894	5.070
895	5.070
896	5.072
897	5.073
898	5.074
899	5.074
900	5.075
901	5.076
902	5.078
903	5.079
904	5.080
905	5.081
906	5.082
907	5.083
908	5.085
909	5.086
910	5.087
911	5.089
912	5.090
913	5.091
914	5.092
915	5.094
916	5.095
917	5.096
918	5.098
919	5.099
920	5.100
921	5.101
922	5.102
923	5.103
924	5.105
925	5.106
926	5.107
927	5.108
928	5.109
929	5.110
930	5.111
931	5.112
932	5.113
933	5.114
934	5.115
935	5.116
936	5.117
937	5.117
938	5.118
939	5.119
940	5.119
941	5.120
942	5.120
943	5.121
944	5.121
945	5.122
946	5.122
947	5.123
948	5.123
949	5.123
950	5.123
951	5.124
952	5.124
953	5.124
954	5.125
955	5.125
956	5.125
957	5.125
958	5.125
959	5.125
960	5.125
961	5.125
962	5.125
963	5.126
964	5.125
965	5.125
966	5.125
967	5.125
968	5.125
969	5.125
970	5.124
971	5.124
972	5.124
973	5.124
974	5.124
975	5.123
976	5.122
977	5.122
978	5.122
979	5.121
980	5.121
981	5.121
982	5.120
983	5.120
984	5.120
985	5.119
986	5.119
987	5.118
988	5.117
989	5.117
990	5.116
991	5.116
992	5.115
993	5.114
994	5.114
995	5.113
996	5.112
997	5.112
998	5.111
999	5.110
1000	5.110
1001	5.109
1002	5.109
1003	5.108
1004	5.107
1005	5.107
1006	5.106
1007	5.105
1008	5.358
1009	5.447
1010	5.446
1011	5.445
1012	5.444
1013	5.444
1014	5.443
1015	5.443
1016	5.443
1017	5.443
1018	5.443
1019	5.443
1020	5.444
1021	5.444
1022	5.445
1023	5.446
1024	5.448
1025	5.449
1026	5.451
1027	5.453
1028	5.455
1029	5.457
1030	5.460
1031	5.463
1032	5.466
1033	5.469
1034	5.472
1035	5.476
1036	5.479
1037	5.483
1038	5.488
1039	5.491
1040	5.496
1041	5.500
