Unbearbeiteter Daten-Export (tab separat)


Klient:	Rebecca,
Sitzung:	rebecca 
Datum:	2021-04-14
Zeit:	19:15:44
Dauer:	417	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	232.558
1	232.558
2	232.558
3	232.558
4	232.558
5	232.558
6	232.558
7	232.558
8	232.558
9	232.558
10	232.558
11	232.558
12	232.558
13	232.558
14	232.558
15	232.558
16	232.558
17	232.558
18	232.558
19	232.558
20	232.558
21	232.558
22	232.558
23	232.558
24	232.558
25	232.558
26	232.558
27	232.558
28	232.558
29	232.558
30	232.558
31	232.558
32	232.558
33	232.558
34	232.558
35	232.558
36	232.558
37	232.558
38	8.318
39	6.293
40	6.292
41	6.290
42	6.289
43	6.287
44	6.286
45	6.284
46	6.283
47	6.281
48	6.279
49	6.278
50	6.277
51	6.275
52	6.274
53	6.272
54	6.271
55	6.270
56	6.269
57	6.267
58	6.266
59	6.265
60	6.264
61	6.262
62	6.262
63	6.260
64	6.259
65	6.258
66	6.257
67	6.256
68	6.255
69	6.254
70	6.252
71	6.251
72	6.250
73	6.249
74	6.248
75	6.247
76	6.246
77	6.246
78	6.244
79	6.244
80	6.243
81	6.242
82	6.241
83	6.241
84	6.240
85	6.239
86	6.238
87	6.237
88	6.236
89	6.235
90	6.235
91	6.233
92	6.233
93	6.233
94	6.232
95	6.231
96	6.231
97	6.231
98	6.230
99	6.230
100	6.230
101	6.230
102	6.230
103	6.231
104	6.230
105	6.231
106	6.232
107	6.232
108	6.233
109	6.234
110	6.234
111	6.236
112	6.237
113	6.238
114	6.239
115	6.240
116	6.241
117	6.243
118	6.244
119	6.245
120	6.247
121	6.248
122	6.249
123	6.250
124	6.251
125	6.252
126	6.253
127	6.254
128	6.254
129	6.255
130	6.256
131	6.257
132	6.258
133	6.258
134	6.259
135	6.260
136	6.260
137	6.260
138	6.261
139	6.261
140	6.261
141	6.261
142	6.261
143	6.261
144	6.261
145	6.260
146	6.261
147	6.260
148	6.260
149	6.259
150	6.259
151	6.259
152	6.258
153	6.257
154	6.257
155	6.256
156	6.256
157	6.255
158	6.255
159	6.254
160	6.254
161	6.253
162	6.252
163	6.251
164	6.251
165	6.249
166	6.249
167	6.248
168	6.247
169	6.246
170	6.245
171	6.244
172	6.243
173	6.242
174	6.242
175	6.241
176	6.240
177	6.239
178	6.238
179	6.237
180	6.236
181	6.235
182	6.234
183	6.233
184	6.232
185	6.231
186	6.230
187	6.229
188	6.228
189	6.227
190	6.225
191	6.224
192	6.223
193	6.222
194	6.221
195	6.219
196	6.218
197	6.217
198	6.216
199	6.215
200	6.213
201	6.212
202	6.211
203	6.210
204	6.209
205	6.208
206	6.207
207	6.206
208	6.204
209	6.203
210	6.202
211	6.201
212	6.200
213	6.199
214	6.198
215	6.197
216	6.196
217	6.195
218	6.194
219	6.193
220	6.192
221	6.191
222	6.190
223	6.189
224	6.188
225	6.187
226	6.186
227	6.185
228	6.184
229	6.183
230	6.182
231	6.181
232	6.179
233	6.178
234	6.177
235	6.176
236	6.175
237	6.175
238	6.173
239	6.173
240	6.172
241	6.171
242	6.170
243	6.169
244	6.168
245	6.167
246	6.166
247	6.166
248	6.165
249	6.164
250	6.164
251	6.163
252	6.162
253	6.161
254	6.160
255	6.160
256	6.159
257	6.158
258	6.157
259	6.157
260	6.155
261	6.155
262	6.154
263	6.153
264	6.153
265	6.152
266	6.152
267	6.151
268	6.151
269	6.150
270	6.149
271	6.149
272	6.148
273	6.148
274	6.147
275	6.147
276	6.146
277	6.145
278	6.145
279	6.144
280	6.144
281	6.143
282	6.143
283	6.142
284	6.142
285	6.142
286	6.141
287	6.142
288	6.142
289	6.142
290	6.142
291	6.142
292	6.142
293	6.143
294	6.142
295	6.142
296	6.142
297	6.143
298	6.143
299	6.143
300	6.143
301	6.143
302	6.144
303	6.144
304	6.144
305	6.144
306	6.145
307	6.145
308	6.145
309	6.145
310	6.145
311	6.145
312	6.146
313	6.145
314	6.146
315	6.145
316	6.146
317	6.146
318	6.146
319	6.146
320	6.146
321	6.146
322	6.145
323	6.145
324	6.145
325	6.145
326	6.144
327	6.144
328	6.144
329	6.143
330	6.143
331	6.143
332	6.142
333	6.142
334	6.142
335	6.141
336	6.141
337	6.140
338	6.140
339	6.140
340	6.139
341	6.138
342	6.138
343	6.138
344	6.137
345	6.137
346	6.137
347	6.137
348	6.137
349	6.136
350	6.136
351	6.136
352	6.136
353	6.136
354	6.136
355	6.136
356	6.136
357	6.136
358	6.136
359	6.136
360	6.136
361	6.137
362	6.137
363	6.136
364	6.136
365	6.137
366	6.136
367	6.136
368	6.137
369	6.137
370	6.137
371	6.137
372	6.137
373	6.137
374	6.137
375	6.137
376	6.137
377	6.137
378	6.137
379	6.137
380	6.138
381	6.137
382	6.137
383	6.137
384	6.137
385	6.136
386	6.136
387	6.136
388	6.136
389	6.136
390	6.135
391	6.135
392	6.134
393	6.134
394	6.133
395	6.133
396	6.133
397	6.133
398	6.132
399	6.132
400	6.132
401	6.131
402	6.131
403	6.130
404	6.130
405	6.129
406	6.129
407	6.128
408	6.128
409	6.127
410	6.126
411	6.125
412	6.124
413	6.124
414	6.123
415	6.123
416	6.122
417	6.121
418	6.120
419	6.120
420	6.119
421	6.118
422	6.117
423	6.116
424	6.116
425	6.115
426	6.114
427	6.113
428	6.112
429	6.111
430	6.111
431	6.109
432	6.108
433	6.107
434	6.106
435	6.106
436	6.105
437	6.104
438	6.103
439	6.102
440	6.102
441	6.100
442	6.100
443	6.099
444	6.098
445	6.097
446	6.096
447	6.095
448	6.094
449	6.094
450	6.093
451	6.092
452	6.091
453	6.090
454	6.089
455	6.089
456	6.088
457	6.087
458	6.086
459	6.085
460	6.085
461	6.084
462	6.083
463	6.082
464	6.081
465	6.081
466	6.079
467	6.079
468	6.078
469	6.078
470	6.077
471	6.076
472	6.075
473	6.074
474	6.073
475	6.072
476	6.071
477	6.070
478	6.069
479	6.069
480	6.067
481	6.067
482	6.066
483	6.065
484	6.064
485	6.064
486	6.063
487	6.062
488	6.061
489	6.060
490	6.059
491	6.058
492	6.057
493	6.056
494	6.056
495	6.055
496	6.054
497	6.053
498	6.052
499	6.051
500	6.051
501	6.050
502	6.049
503	6.048
504	6.048
505	6.047
506	6.046
507	6.045
508	6.045
509	6.044
510	6.043
511	6.042
512	6.041
513	6.041
514	6.040
515	6.039
516	6.039
517	6.038
518	6.038
519	6.037
520	6.036
521	6.035
522	6.034
523	6.033
524	6.032
525	6.032
526	6.031
527	6.030
528	6.029
529	6.028
530	6.027
531	6.027
532	6.026
533	6.025
534	6.024
535	6.023
536	6.023
537	6.022
538	6.021
539	6.020
540	6.019
541	6.018
542	6.018
543	6.017
544	6.016
545	6.015
546	6.014
547	6.013
548	6.013
549	6.012
550	6.011
551	6.011
552	6.010
553	6.009
554	6.009
555	6.008
556	6.007
557	6.007
558	6.006
559	6.005
560	6.005
561	6.004
562	6.003
563	6.002
564	6.002
565	6.001
566	6.000
567	5.999
568	5.999
569	5.998
570	5.997
571	5.996
572	5.995
573	5.995
574	5.995
575	5.994
576	5.993
577	5.993
578	5.992
579	5.991
580	5.990
581	5.990
582	5.989
583	5.988
584	5.987
585	5.987
586	5.986
587	5.985
588	5.985
589	5.984
590	5.983
591	5.982
592	5.981
593	5.980
594	5.980
595	5.979
596	5.978
597	5.978
598	5.977
599	5.976
600	5.976
601	5.975
602	5.974
603	5.974
604	5.973
605	5.972
606	5.971
607	5.970
608	5.970
609	5.969
610	5.968
611	5.967
612	5.967
613	5.966
614	5.965
615	5.964
616	5.964
617	5.963
618	5.963
619	5.961
620	5.961
621	5.960
622	5.960
623	5.959
624	5.958
625	5.957
626	5.956
627	5.956
628	5.955
629	5.954
630	5.954
631	5.953
632	5.952
633	5.951
634	5.950
635	5.950
636	5.949
637	5.948
638	5.947
639	5.947
640	5.946
641	5.945
642	5.944
643	5.944
644	5.943
645	5.942
646	5.941
647	5.941
648	5.940
649	5.939
650	5.938
651	5.938
652	5.937
653	5.936
654	5.936
655	5.935
656	5.934
657	5.934
658	5.933
659	5.932
660	5.931
661	5.931
662	5.930
663	5.929
664	5.929
665	5.929
666	5.928
667	5.927
668	5.926
669	5.926
670	5.925
671	5.924
672	5.923
673	5.922
674	5.922
675	5.921
676	5.920
677	5.920
678	5.919
679	5.918
680	5.918
681	5.917
682	5.916
683	5.916
684	5.915
685	5.914
686	5.914
687	5.913
688	5.912
689	5.912
690	5.911
691	5.911
692	5.910
693	5.909
694	5.909
695	5.908
696	5.907
697	5.907
698	5.907
699	5.906
700	5.905
701	5.904
702	5.904
703	5.903
704	5.903
705	5.903
706	5.902
707	5.902
708	5.901
709	5.900
710	5.900
711	5.899
712	5.899
713	5.898
714	5.898
715	5.897
716	5.897
717	5.896
718	5.896
719	5.895
720	5.895
721	5.894
722	5.893
723	5.893
724	5.892
725	5.892
726	5.891
727	5.891
728	5.890
729	5.890
730	5.889
731	5.889
732	5.889
733	5.888
734	5.888
735	5.888
736	5.887
737	5.887
738	5.886
739	5.886
740	5.886
741	5.886
742	5.885
743	5.885
744	5.885
745	5.885
746	5.884
747	5.884
748	5.884
749	5.884
750	5.884
751	5.883
752	5.883
753	5.883
754	5.883
755	5.883
756	5.883
757	5.883
758	5.883
759	5.883
760	5.884
761	5.884
762	5.884
763	5.884
764	5.884
765	5.884
766	5.884
767	5.884
768	5.885
769	5.885
770	5.885
771	5.885
772	5.885
773	5.885
774	5.885
775	5.885
776	5.885
777	5.886
778	5.886
779	5.887
780	5.886
781	5.887
782	5.886
783	5.887
784	5.887
785	5.887
786	5.887
787	5.887
788	5.887
789	5.887
790	5.887
791	5.887
792	5.887
793	5.887
794	5.887
795	5.887
796	5.886
797	5.886
798	5.886
799	5.886
800	5.885
801	5.885
802	5.884
803	5.885
804	5.884
805	5.883
806	5.883
807	5.883
808	5.883
809	5.883
810	5.882
811	5.882
812	5.882
813	5.881
814	5.881
815	5.880
816	5.880
817	5.879
818	5.879
819	5.878
820	5.878
821	5.878
822	5.877
823	5.876
824	5.876
825	5.876
826	5.875
827	5.875
828	5.874
