Unbearbeiteter Daten-Export (tab separat)


Klient:	Sebastian,Heckner
Sitzung:	30.04.one_hand_2 
Datum:	2021-04-30
Zeit:	10:08:33
Dauer:	85	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	9.511
1	2.756
2	2.755
3	2.755
4	2.755
5	2.754
6	2.754
7	2.753
8	2.753
9	2.752
10	2.752
11	2.751
12	2.751
13	2.750
14	2.750
15	2.749
16	2.749
17	2.748
18	2.748
19	2.747
20	2.747
21	2.746
22	2.746
23	2.745
24	2.745
25	2.744
26	2.744
27	2.743
28	2.743
29	2.742
30	2.742
31	2.741
32	2.741
33	2.740
34	2.740
35	2.739
36	2.739
37	2.738
38	2.738
39	2.737
40	2.736
41	2.736
42	2.735
43	2.735
44	2.734
45	2.734
46	2.733
47	2.733
48	2.732
49	2.732
50	2.731
51	2.731
52	2.730
53	2.730
54	2.729
55	2.729
56	2.729
57	2.728
58	2.728
59	2.727
60	2.727
61	2.726
62	2.726
63	2.726
64	2.725
65	2.725
66	2.724
67	2.724
68	2.724
69	2.723
70	2.723
71	2.722
72	2.722
73	2.722
74	2.721
75	2.721
76	2.721
77	2.720
78	2.720
79	2.720
80	2.720
81	2.719
82	2.670
83	2.670
84	2.670
85	2.670
86	2.670
87	2.670
88	2.670
89	2.670
90	2.670
91	2.671
92	2.671
93	2.671
94	2.671
95	2.671
96	2.672
97	2.672
98	2.672
99	2.672
100	2.672
101	2.672
102	2.673
103	2.673
104	2.673
105	2.673
106	2.674
107	2.674
108	2.674
109	2.674
110	2.675
111	2.675
112	2.675
113	2.675
114	2.676
115	2.676
116	2.677
117	2.677
118	2.677
119	2.678
120	2.678
121	2.678
122	2.679
123	2.679
124	2.679
125	2.680
126	2.680
127	2.680
128	2.681
129	2.681
130	2.681
131	2.682
132	2.682
133	2.683
134	2.683
135	2.683
136	2.684
137	2.684
138	2.684
139	2.685
140	2.685
141	2.686
142	2.686
143	2.686
144	2.687
145	2.687
146	2.687
147	2.688
148	2.688
149	2.688
150	2.689
151	2.689
152	2.689
153	2.690
154	2.690
155	2.690
156	2.690
157	2.691
158	2.691
159	2.691
160	2.692
161	2.692
162	2.692
163	2.692
164	2.692
165	2.692
166	2.692
167	2.692
168	2.692
169	2.692
170	2.692
171	2.692
172	2.692
173	2.692
174	2.692
175	2.692
176	2.691
177	2.691
178	2.691
179	2.691
180	2.690
181	2.690
182	2.690
183	2.689
184	2.689
185	2.688
186	2.687
187	2.686
188	2.686
189	2.685
190	2.684
191	2.684
192	2.683
193	2.682
194	2.681
195	2.681
196	2.680
197	2.679
198	2.679
199	2.678
200	2.677
201	2.677
202	2.676
203	2.675
204	2.675
205	2.674
206	2.673
207	2.673
208	2.672
209	2.671
210	2.670
211	2.668
212	2.667
213	2.666
214	2.664
215	2.663
216	2.661
217	2.660
218	2.658
219	2.657
220	2.656
221	2.654
222	2.652
223	2.651
224	2.650
225	2.648
226	2.647
227	2.645
228	2.644
229	2.643
230	2.642
231	2.640
232	2.639
233	2.638
234	2.637
235	2.636
236	2.635
237	2.634
238	2.632
239	2.631
240	2.630
241	2.629
242	2.628
243	2.627
244	2.626
245	2.625
246	2.624
247	2.623
248	2.622
249	2.622
250	2.621
251	2.620
252	2.619
253	2.618
254	2.617
255	2.617
256	2.616
257	2.615
258	2.614
259	2.613
260	2.612
261	2.612
262	2.611
263	2.610
264	2.609
265	2.609
266	2.608
267	2.607
268	2.607
269	2.606
270	2.605
271	2.604
272	2.604
273	2.603
274	2.602
275	2.602
276	2.601
277	2.600
278	2.600
279	2.599
280	2.598
281	2.598
282	2.597
283	2.597
284	2.596
285	2.595
286	2.595
287	2.594
288	2.593
289	2.593
290	2.592
291	2.591
292	2.591
293	2.590
294	2.590
295	2.589
296	2.588
297	2.588
298	2.587
299	2.587
300	2.586
301	2.586
302	2.585
303	2.584
304	2.584
305	2.583
306	2.583
307	2.582
308	2.582
309	2.581
310	2.581
311	2.580
312	2.580
313	2.579
314	2.578
315	2.578
316	2.577
317	2.577
318	2.576
319	2.576
320	2.575
321	2.575
322	2.574
323	2.574
324	2.573
325	2.573
326	2.572
327	2.572
328	2.571
329	2.571
330	2.570
331	2.569
332	2.569
333	2.569
334	2.568
335	2.567
336	2.567
337	2.567
338	2.566
339	2.566
340	2.565
341	2.565
342	2.564
343	2.564
344	2.563
345	2.563
346	2.562
347	2.562
348	2.561
349	2.561
350	2.560
351	2.560
352	2.560
353	2.559
354	2.559
355	2.558
356	2.558
357	2.557
358	2.557
359	2.557
360	2.556
361	2.556
362	2.555
363	2.555
364	2.555
365	2.554
366	2.554
367	2.554
368	2.553
369	2.553
370	2.552
371	2.552
372	2.551
373	2.551
374	2.551
375	2.550
376	2.550
377	2.550
378	2.549
379	2.549
380	2.548
381	2.548
382	2.547
383	2.547
384	2.547
385	2.546
386	2.546
387	2.546
388	2.545
389	2.545
390	2.544
391	2.544
392	2.544
393	2.543
394	2.543
395	2.542
396	2.542
397	2.542
398	2.541
399	2.541
400	2.540
401	2.540
402	2.540
403	2.539
404	2.539
405	2.538
406	2.538
407	2.538
408	2.537
409	2.537
410	2.536
411	2.536
412	2.536
413	2.536
414	2.535
415	2.535
416	2.535
417	2.534
418	2.534
419	2.534
420	2.534
421	2.534
422	2.534
