Unbearbeiteter Daten-Export (tab separat)


Klient:	Sebastian,Heckner
Sitzung:	30.04.one_hand_5 
Datum:	2021-04-30
Zeit:	12:10:45
Dauer:	86	Sekunden.
Abtastrate:	32	Samples/sek.

Beispiele	32 SPS	
Zeit	Sensor-C:EDA (Hautleitwert)	


0	3.457
1	1.849
2	1.849
3	1.849
4	1.849
5	1.849
6	1.849
7	1.849
8	1.849
9	1.849
10	1.849
11	1.849
12	1.849
13	1.849
14	1.850
15	1.850
16	1.850
17	1.850
18	1.850
19	1.850
20	1.850
21	1.850
22	1.850
23	1.851
24	1.851
25	1.851
26	1.851
27	1.851
28	1.852
29	1.852
30	1.852
31	1.852
32	1.852
33	1.853
34	1.853
35	1.853
36	1.853
37	1.854
38	1.854
39	1.854
40	1.855
41	1.855
42	1.855
43	1.855
44	1.856
45	1.856
46	1.856
47	1.857
48	1.857
49	1.857
50	1.857
51	1.858
52	1.858
53	1.858
54	1.859
55	1.859
56	1.859
57	1.860
58	1.860
59	1.860
60	1.861
61	1.861
62	1.861
63	1.862
64	1.862
65	1.862
66	1.863
67	1.863
68	1.863
69	1.864
70	1.864
71	1.864
72	1.865
73	1.865
74	1.865
75	1.866
76	1.866
77	1.866
78	1.867
79	1.867
80	1.868
81	1.868
82	1.869
83	1.869
84	1.870
85	1.870
86	1.871
87	1.872
88	1.872
89	1.873
90	1.874
91	1.874
92	1.875
93	1.876
94	1.877
95	1.878
96	1.879
97	1.880
98	1.880
99	1.881
100	1.882
101	1.883
102	1.884
103	1.885
104	1.886
105	1.887
106	1.888
107	1.889
108	1.890
109	1.891
110	1.892
111	1.893
112	1.894
113	1.895
114	1.896
115	1.897
116	1.898
117	1.899
118	1.900
119	1.901
120	1.903
121	1.904
122	1.905
123	1.906
124	1.907
125	1.908
126	1.909
127	1.911
128	1.912
129	1.913
130	1.914
131	1.916
132	1.917
133	1.918
134	1.920
135	1.921
136	1.922
137	1.923
138	1.925
139	1.926
140	1.927
141	1.928
142	1.930
143	1.931
144	1.932
145	1.933
146	1.934
147	1.935
148	1.937
149	1.938
150	1.939
151	1.940
152	1.941
153	1.942
154	1.943
155	1.944
156	1.945
157	1.946
158	1.947
159	1.948
160	1.949
161	1.950
162	1.951
163	1.952
164	1.953
165	1.954
166	1.954
167	1.955
168	1.956
169	1.957
170	1.957
171	1.958
172	1.959
173	1.959
174	1.960
175	1.960
176	1.961
177	1.961
178	1.962
179	1.962
180	1.963
181	1.963
182	1.964
183	1.964
184	1.965
185	1.965
186	1.966
187	1.966
188	1.966
189	1.967
190	1.967
191	1.968
192	1.968
193	1.968
194	1.969
195	1.969
196	1.970
197	1.970
198	1.970
199	1.971
200	1.971
201	1.971
202	1.972
203	1.972
204	1.972
205	1.973
206	1.973
207	1.973
208	1.974
209	1.974
210	1.974
211	1.975
212	1.975
213	1.975
214	1.976
215	1.976
216	1.977
217	1.977
218	1.978
219	1.978
220	1.979
221	1.979
222	1.980
223	1.981
224	1.982
225	1.983
226	1.983
227	1.984
228	1.985
229	1.986
230	1.987
231	1.989
232	1.990
233	1.991
234	1.992
235	1.993
236	1.995
237	1.996
238	1.997
239	1.999
240	2.000
241	2.001
242	2.003
243	2.004
244	2.005
245	2.007
246	2.008
247	2.009
248	2.011
249	2.012
250	2.014
251	2.015
252	2.016
253	2.018
254	2.019
255	2.021
256	2.022
257	2.023
258	2.024
259	2.026
260	2.027
261	2.028
262	2.029
263	2.030
264	2.032
265	2.033
266	2.034
267	2.035
268	2.036
269	2.037
270	2.038
271	2.040
272	2.041
273	2.042
274	2.043
275	2.044
276	2.045
277	2.046
278	2.047
279	2.048
280	2.049
281	2.050
282	2.050
283	2.051
284	2.052
285	2.053
286	2.054
287	2.055
288	2.055
289	2.056
290	2.057
291	2.058
292	2.058
293	2.059
294	2.060
295	2.060
296	2.061
297	2.061
298	2.062
299	2.063
300	2.063
301	2.064
302	2.064
303	2.064
304	2.065
305	2.065
306	2.066
307	2.066
308	2.066
309	2.067
310	2.067
311	2.067
312	2.068
313	2.068
314	2.068
315	2.069
316	2.069
317	2.069
318	2.069
319	2.070
320	2.070
321	2.070
322	2.070
323	2.070
324	2.070
325	2.070
326	2.071
327	2.071
328	2.071
329	2.071
330	2.071
331	2.071
332	2.071
333	2.071
334	2.071
335	2.071
336	2.070
337	2.070
338	2.070
339	2.070
340	2.070
341	2.070
342	2.070
343	2.069
344	2.069
